"vendas","descontos","venda_líquida","qtd_unidades","lucro","custo_entrega","custo_implicito","prioridades_pedidos","categorias_produto","sub_categorias_produto","modo_entrega"
577.42,0.0,577.42,42,253.5,1.49,322.42999999999995,CRITICAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
95.08,0.06,89.37519999999999,20,39.91,0.5,48.965199999999996,CRITICAL,OFFICE SUPPLIES,LABELS,REGULAR AIR
82.21,0.04,78.9216,25,15.25,1.09,62.581599999999995,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
117.88,0.1,106.092,47,-71.0,2.4,174.692,LOW,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
3130.2015,0.07,2911.087395,34,692.78,2.5,2215.807395,HIGH,TECHNOLOGY,TELEPHONES AND COMMUNICATION,EXPRESS AIR
449.47,0.05,426.9965,31,-190.49,13.32,604.1665,NOT SPECIFIED,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
80.61,0.08,74.1612,29,-8.77,1.25,81.68119999999999,NOT SPECIFIED,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
55.02,0.08,50.6184,10,-56.12,5.14,101.5984,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
2413.53,0.06,2268.7182000000003,39,544.04,12.23,1712.4482000000003,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
204.99,0.03,198.8403,41,-95.99,4.95,289.88030000000003,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
265.31,0.09,241.4321,23,-33.19,7.19,267.4321,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,EXPRESS AIR
1444.88,0.1,1300.392,15,236.61,7.18,1056.6019999999999,NOT SPECIFIED,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
2287.1,0.07,2127.0029999999997,23,231.49,19.99,1875.523,NOT SPECIFIED,TECHNOLOGY,OFFICE MACHINES,REGULAR AIR
786.26,0.01,778.3974,44,274.98,1.99,501.4273999999999,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
786.13,0.04,754.6848,48,-236.12,7.04,983.7648,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
26.11,0.08,24.0212,10,2.65,0.8,20.5712,LOW,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR
442.31,0.02,433.4638,50,231.68,0.96,200.8238,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
114.83,0.04,110.2368,4,-52.62,1.99,160.8668,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
192.58,0.05,182.95100000000002,10,24.6,4.1,154.25100000000003,MEDIUM,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
1534.7,0.07,1427.271,49,258.25,3.6,1165.421,MEDIUM,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
2682.8,0.01,2655.972,45,860.22,3.5,1792.2520000000002,CRITICAL,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
387.03,0.04,371.54879999999997,50,-7.73,4.95,374.3288,MEDIUM,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
585.47,0.1,526.923,17,178.14,5.08,343.703,MEDIUM,OFFICE SUPPLIES,PAPER,EXPRESS AIR
123.34,0.07,114.7062,11,0.64,5.01,109.05619999999999,HIGH,OFFICE SUPPLIES,PAPER,REGULAR AIR
1642.47,0.01,1626.0453,23,-524.03,60.0,2090.0753,HIGH,OFFICE SUPPLIES,APPLIANCES,DELIVERY TRUCK
93.22,0.06,87.6268,25,-15.37,0.94,102.05680000000001,LOW,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR
243.18,0.08,223.72560000000001,36,-314.22,9.69,528.2556000000001,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
291.67,0.01,288.7533,40,54.46,2.99,231.3033,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
3853.47,0.1,3468.1229999999996,27,21.5,6.5,3440.1229999999996,MEDIUM,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
28.23,0.1,25.407,5,-14.69,4.7,35.397,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
4962.05,0.08,4565.086,50,335.29,56.14,4173.656,HIGH,TECHNOLOGY,OFFICE MACHINES,DELIVERY TRUCK
192.39,0.08,176.9988,19,-31.67,4.68,203.98879999999997,HIGH,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",EXPRESS AIR
26.08,0.1,23.471999999999998,13,-27.29,2.58,48.181999999999995,NOT SPECIFIED,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR
669.69,0.03,649.5993000000001,8,-297.02,35.0,911.6193000000001,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
405.6,0.07,377.208,45,-8.59,5.6,380.198,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
706.3925,0.06,664.00895,39,346.14,0.99,316.87895000000003,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
154.99,0.07,144.1407,24,-1085.52,49.0,1180.6607,MEDIUM,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
115.78,0.07,107.6754,32,-167.42,6.83,268.2654,HIGH,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
210.22,0.0,210.22,13,-30.71,7.69,233.24,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
281.39,0.1,253.25099999999998,50,-106.4,5.01,354.64099999999996,HIGH,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
315.42,0.1,283.87800000000004,10,-41.26,17.08,308.05800000000005,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
144.03,0.03,139.7091,38,-139.52,5.47,273.7591,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
294.68,0.01,291.7332,23,-23.35,6.96,308.12320000000005,MEDIUM,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
2378.82,0.02,2331.2436000000002,43,597.16,16.11,1717.9736000000003,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
202.62,0.02,198.5676,6,13.87,8.74,175.95759999999999,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,EXPRESS AIR
307.49,0.01,304.4151,24,61.51,6.02,236.88510000000002,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
516.65,0.01,511.4835,7,57.1,3.5,450.88349999999997,CRITICAL,OFFICE SUPPLIES,APPLIANCES,EXPRESS AIR
89.335,0.06,83.97489999999999,5,-107.1,2.5,188.57489999999999,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
158.46,0.06,148.9524,39,-130.66,5.26,274.3524,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
7180.83,0.02,7037.2134,31,487.17,64.66,6485.3834,LOW,FURNITURE,BOOKCASES,DELIVERY TRUCK
5748.2,0.09,5230.862,39,-459.86,35.02,5655.701999999999,HIGH,FURNITURE,BOOKCASES,DELIVERY TRUCK
416.4,0.02,408.072,24,24.33,4.96,378.78200000000004,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
21.44,0.02,21.011200000000002,2,-13.67,8.74,25.941200000000002,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
225.14,0.08,207.12879999999998,11,-42.61,8.99,240.74879999999996,NOT SPECIFIED,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
1559.7755,0.03,1512.982235,22,-247.18,0.99,1759.172235,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
1590.163,0.01,1574.26137,33,-57.54,5.0,1626.80137,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
1203.73,0.03,1167.6181,7,293.14,19.99,854.4880999999999,MEDIUM,OFFICE SUPPLIES,ENVELOPES,REGULAR AIR
482.93,0.06,453.9542,34,-67.59,7.59,513.9542,MEDIUM,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",REGULAR AIR
75.19,0.01,74.43809999999999,6,-6.61,5.72,75.32809999999999,MEDIUM,OFFICE SUPPLIES,ENVELOPES,REGULAR AIR
8363.65,0.09,7610.9214999999995,30,763.33,64.73,6782.8615,LOW,FURNITURE,CHAIRS & CHAIRMATS,DELIVERY TRUCK
303.62,0.02,297.5476,46,-59.98,2.74,354.7876,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
334.66,0.05,317.927,34,132.56,1.09,184.27700000000004,MEDIUM,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
1142.36,0.02,1119.5128,35,72.78,4.0,1042.7328,NOT SPECIFIED,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
1379.3375,0.08,1268.9905,14,-78.54,4.2,1343.3305,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
2654.16,0.01,2627.6184,27,600.93,28.0,1998.6884,CRITICAL,TECHNOLOGY,OFFICE MACHINES,DELIVERY TRUCK
1722.65,0.05,1636.5175000000002,15,-399.67,51.42,1984.7675000000002,CRITICAL,FURNITURE,BOOKCASES,DELIVERY TRUCK
461.55,0.09,420.01050000000004,14,-12.0,19.99,412.0205,MEDIUM,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
799.98,0.04,767.9808,9,15.36,14.0,738.6208,NOT SPECIFIED,TECHNOLOGY,OFFICE MACHINES,DELIVERY TRUCK
618.84,0.05,587.898,14,-200.84,34.2,754.538,MEDIUM,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
177.67,0.03,172.3399,6,39.63,1.49,131.2199,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
200.753,0.09,182.68523,2,-605.37,8.99,779.0652299999999,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
281.84,0.1,253.65599999999998,17,-99.55,4.0,349.20599999999996,MEDIUM,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
9.37,0.09,8.5267,2,-5.26,1.22,12.5667,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR
67.24,0.06,63.2056,23,4.9,0.93,57.3756,HIGH,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
2277.03,0.07,2117.6379,44,964.1,6.79,1146.7479000000003,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
257.75,0.02,252.595,48,-66.26,4.75,314.105,HIGH,OFFICE SUPPLIES,PAPER,REGULAR AIR
39.69,0.05,37.7055,24,-1.78,1.0,38.4855,HIGH,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
5139.882,0.01,5088.483179999999,48,1275.67,8.99,3803.8231799999994,HIGH,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
8532.152,0.04,8190.86592,50,-513.79,52.2,8652.45592,MEDIUM,FURNITURE,TABLES,DELIVERY TRUCK
824.51,0.01,816.2649,29,0.9,4.0,811.3649,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
3081.471,0.09,2804.13861,31,574.98,4.2,2224.95861,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
1216.5,0.1,1094.85,19,162.18,19.99,912.6799999999998,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
495.5,0.06,465.77,44,-12.67,6.97,471.46999999999997,NOT SPECIFIED,OFFICE SUPPLIES,ENVELOPES,REGULAR AIR
81.9,0.01,81.081,27,4.06,0.96,76.061,NOT SPECIFIED,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
498.28,0.01,493.2972,37,10.18,4.51,478.6072,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
191.13,0.07,177.7509,47,38.11,1.2,138.4409,LOW,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
8380.22,0.0,8380.22,48,813.83,35.02,7531.369999999999,HIGH,FURNITURE,BOOKCASES,DELIVERY TRUCK
168.95,0.1,152.05499999999998,18,-15.9,5.76,162.195,MEDIUM,OFFICE SUPPLIES,ENVELOPES,REGULAR AIR
1043.12,0.06,980.5328,7,-52.5,13.99,1019.0427999999999,MEDIUM,TECHNOLOGY,OFFICE MACHINES,REGULAR AIR
87.44,0.06,82.1936,49,1.33,0.7,80.1636,CRITICAL,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
1318.49,0.02,1292.1202,50,4.69,8.79,1278.6402,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
1666.0,0.08,1532.72,32,742.96,4.85,784.9100000000001,HIGH,OFFICE SUPPLIES,PAPER,REGULAR AIR
453.98,0.02,444.9004,40,67.6,5.01,372.2904,HIGH,OFFICE SUPPLIES,PAPER,REGULAR AIR
945.9,0.08,870.228,43,105.7,5.53,758.9979999999999,MEDIUM,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
71.32,0.08,65.61439999999999,42,-4.9,1.0,69.5144,LOW,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
750.86,0.0,750.86,33,302.12,2.99,445.75,HIGH,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
215.31,0.09,195.9321,14,-51.75,10.91,236.7721,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
157.33,0.1,141.597,14,-76.34,8.6,209.33700000000002,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
35.17,0.03,34.1149,11,5.58,0.99,27.5449,CRITICAL,OFFICE SUPPLIES,LABELS,REGULAR AIR
125.84,0.1,113.256,20,18.42,2.0,92.836,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
114.55,0.05,108.82249999999999,11,28.61,2.06,78.15249999999999,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR
1386.65,0.09,1261.8515,14,-193.58,35.84,1419.5915,LOW,FURNITURE,BOOKCASES,DELIVERY TRUCK
136.72,0.09,124.4152,35,5.91,1.23,117.2752,CRITICAL,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
62.03,0.09,56.4473,6,17.31,6.02,33.1173,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
57.03,0.0,57.03,7,-31.38,3.52,84.89,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
611.16,0.04,586.7135999999999,46,100.22,4.98,481.5135999999999,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
999.89,0.02,979.8922,10,-119.92,19.99,1079.8222,NOT SPECIFIED,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
35.69,0.04,34.2624,10,-31.24,4.2,61.3024,NOT SPECIFIED,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
1462.1615,0.03,1418.2966549999999,26,215.43,5.99,1196.8766549999998,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
130.25,0.05,123.7375,45,0.89,1.58,121.2675,LOW,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR
453.87,0.08,417.5604,30,76.59,4.0,336.97040000000004,NOT SPECIFIED,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
310.99,0.07,289.2207,33,106.45,2.03,180.74070000000006,HIGH,OFFICE SUPPLIES,PAPER,REGULAR AIR
1514.9635,0.02,1484.66423,26,310.19,4.99,1169.48423,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
19.36,0.04,18.5856,7,-1.0,0.7,18.8856,CRITICAL,OFFICE SUPPLIES,RUBBER BANDS,EXPRESS AIR
155.73,0.03,151.0581,21,42.86,1.71,106.48809999999999,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,EXPRESS AIR
793.04,0.1,713.736,42,323.08,1.49,389.166,HIGH,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
4115.74,0.1,3704.1659999999997,36,1719.47,9.07,1975.6259999999995,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
596.156,0.1,536.5404,26,-97.92,8.59,625.8703999999999,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,EXPRESS AIR
36.46,0.1,32.814,4,-7.41,2.99,37.233999999999995,HIGH,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
47.4,0.03,45.978,18,-63.03,5.2,103.80799999999999,HIGH,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
773.83,0.06,727.4002,19,146.79,5.33,575.2802,HIGH,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
2130.82,0.05,2024.2790000000002,18,818.92,9.07,1196.2890000000002,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
934.87,0.09,850.7317,31,98.69,12.62,739.4217000000001,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
6040.22,0.05,5738.209,44,-942.5,35.0,6645.709,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR
1356.45,0.02,1329.3210000000001,37,47.65,19.99,1261.681,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
161.28,0.01,159.6672,46,56.73,0.76,102.17720000000003,MEDIUM,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR
8.87,0.09,8.0717,4,-5.14,1.63,11.5817,LOW,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
720.613,0.07,670.1700900000001,43,329.68,0.99,339.50009000000006,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
25.09,0.07,23.3337,2,-17.6,8.94,31.993700000000004,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
714.391,0.0,714.391,12,-62.33,8.99,767.731,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
119.51,0.06,112.33940000000001,17,-51.3,6.05,157.5894,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
502.8,0.0,502.8,15,-19.1,19.51,502.39000000000004,NOT SPECIFIED,OFFICE SUPPLIES,ENVELOPES,REGULAR AIR
85.03,0.05,80.77850000000001,18,-75.31,6.72,149.3685,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
468.46,0.01,463.7754,33,-292.7,14.37,742.1053999999999,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
2357.45,0.02,2310.301,23,-108.8,35.84,2383.261,LOW,FURNITURE,BOOKCASES,DELIVERY TRUCK
817.53,0.03,793.0041,34,76.63,11.54,704.8341,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR
25.96,0.06,24.4024,2,-29.29,6.24,47.4524,CRITICAL,TECHNOLOGY,OFFICE MACHINES,REGULAR AIR
182.47,0.05,173.3465,17,-3.18,3.37,173.1565,CRITICAL,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",REGULAR AIR
691.59,0.03,670.8423,17,261.24,2.99,406.6123,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
345.2,0.01,341.748,45,183.53,0.49,157.72799999999998,LOW,OFFICE SUPPLIES,LABELS,REGULAR AIR
4373.8535,0.04,4198.89936,42,963.68,7.69,3227.529360000001,CRITICAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,EXPRESS AIR
2860.19,0.04,2745.7824,28,458.4,10.12,2277.2624,HIGH,FURNITURE,OFFICE FURNISHINGS,EXPRESS AIR
2925.78,0.03,2838.0066,29,1041.29,7.18,1789.5366000000004,NOT SPECIFIED,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
570.43,0.07,530.4998999999999,49,78.89,5.43,446.1799,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR
100.08,0.08,92.0736,49,-85.58,2.56,175.09359999999998,LOW,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",REGULAR AIR
803.04,0.08,738.7968,15,282.32,6.79,449.6868,CRITICAL,OFFICE SUPPLIES,PAPER,REGULAR AIR
88.61,0.01,87.7239,19,21.47,1.49,64.7639,CRITICAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,EXPRESS AIR
336.06,0.01,332.6994,50,-240.78,8.88,564.5994000000001,MEDIUM,OFFICE SUPPLIES,PAPER,REGULAR AIR
1955.0765,0.06,1837.77191,36,470.83,3.9,1363.04191,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
380.38,0.06,357.5572,24,7.29,5.45,344.8172,MEDIUM,OFFICE SUPPLIES,PENS & ART SUPPLIES,EXPRESS AIR
477.53,0.09,434.55229999999995,50,197.76,1.39,235.40229999999997,NOT SPECIFIED,OFFICE SUPPLIES,ENVELOPES,REGULAR AIR
2690.7515,0.0,2690.7515,15,234.61,8.08,2448.0615,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
796.14,0.03,772.2558,19,320.07,2.99,449.1958,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
142.96,0.09,130.0936,31,33.59,1.52,94.9836,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
222.258,0.03,215.59026,7,-77.9,1.25,292.24026000000003,CRITICAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
2389.3,0.01,2365.407,18,589.38,12.65,1763.377,CRITICAL,FURNITURE,CHAIRS & CHAIRMATS,REGULAR AIR
128.62,0.07,119.6166,7,-27.78,8.99,138.40660000000003,CRITICAL,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
424.0,0.03,411.28,50,-19.77,3.5,427.54999999999995,CRITICAL,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
504.79,0.03,489.6463,5,-245.09,19.99,714.7463,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,EXPRESS AIR
740.2,0.05,703.19,9,239.94,5.01,458.24000000000007,LOW,OFFICE SUPPLIES,ENVELOPES,EXPRESS AIR
217.93,0.03,211.3921,27,-29.02,5.83,234.5821,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
1288.7785,0.07,1198.564005,23,-185.89,19.99,1364.4640049999998,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
43.57,0.1,39.213,35,-19.17,0.7,57.683,CRITICAL,OFFICE SUPPLIES,RUBBER BANDS,REGULAR AIR
31.87,0.1,28.683,8,-1.25,1.2,28.733,CRITICAL,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
1193.65,0.07,1110.0945000000002,29,507.58,2.99,599.5245000000002,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
40.02,0.02,39.2196,4,-1.28,1.09,39.4096,MEDIUM,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
315.02,0.02,308.71959999999996,50,95.16,1.49,212.06959999999995,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
1895.55,0.06,1781.817,46,807.62,1.99,972.207,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
5418.68,0.07,5039.3724,20,332.3,35.67,4671.4024,LOW,FURNITURE,TABLES,DELIVERY TRUCK
269.37,0.05,255.9015,48,-103.55,5.01,354.4415,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
95.73,0.0,95.73,41,-151.15,5.33,241.55,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
254.76,0.06,239.4744,6,109.88,14.45,115.14440000000002,LOW,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
177.95,0.09,161.93449999999999,27,-61.75,6.0,217.68449999999999,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR
831.52,0.07,773.3136,25,259.47,1.99,511.8535999999999,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
1089.87,0.06,1024.4778,10,-124.51,5.99,1142.9977999999999,CRITICAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,EXPRESS AIR
1068.79,0.07,993.9747,14,56.05,19.95,917.9747,LOW,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR
2012.14,0.07,1871.2902000000001,49,241.74,14.45,1615.1002,MEDIUM,FURNITURE,OFFICE FURNISHINGS,REGULAR AIR
150.77,0.01,149.2623,7,-72.23,4.0,217.4923,MEDIUM,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
295.24,0.08,271.62080000000003,49,-279.93,8.49,543.0608,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,EXPRESS AIR
337.34,0.06,317.09959999999995,9,-69.84,1.99,384.9495999999999,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
226.81,0.05,215.4695,16,-5.37,7.17,213.66950000000003,CRITICAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
511.07,0.01,505.9593,46,-165.74,6.5,665.1993,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
428.14,0.04,411.01439999999997,19,-6.04,11.54,405.51439999999997,LOW,OFFICE SUPPLIES,PAPER,REGULAR AIR
2318.2135,0.07,2155.9385549999997,44,583.75,2.79,1569.3985549999998,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
36.23,0.02,35.505399999999995,16,-24.87,1.99,58.38539999999999,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,REGULAR AIR
251.05,0.1,225.945,36,118.79,0.49,106.66499999999998,HIGH,OFFICE SUPPLIES,LABELS,REGULAR AIR
305.62,0.1,275.058,36,-129.86,8.29,396.628,HIGH,OFFICE SUPPLIES,ENVELOPES,REGULAR AIR
157.87,0.0,157.87,46,-115.8,3.97,269.7,HIGH,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR
1662.57,0.1,1496.3129999999999,49,674.99,2.99,818.3329999999999,HIGH,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
2433.55,0.05,2311.8725000000004,23,355.93,8.08,1947.8625000000004,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR
78.44,0.09,71.3804,14,11.02,1.49,58.870400000000004,CRITICAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR
229.43,0.08,211.0756,28,61.09,2.5,147.4856,NOT SPECIFIED,OFFICE SUPPLIES,ENVELOPES,EXPRESS AIR
123.13,0.05,116.9735,36,20.57,1.35,95.05350000000001,LOW,OFFICE SUPPLIES,RUBBER BANDS,EXPRESS AIR
